# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.007,0.398,39.804,0.398,39.804,0,0,0,0,0,0,28.61,-80.6,9.792,80.191,0,0,0,454.234,59.897,0.016,2.031e-4,NaN,15.861,NaN,0.007,1.143e5,22.529,8.04e-5,0.619,0.007,0.336,0.162,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.096e-5,2.6,34.253,90,0,2.302,15,1013.25,340.389,0.01,0.003
0.02,0.037,1.435,103.684,1.435,103.684,0,0,0,0,0,0,28.61,-80.6,9.792,57.906,0,0,0,453.996,59.658,0.016,2.031e-4,NaN,15.855,NaN,0.008,1.321e5,51.521,0.003,0.613,0.182,0.331,0.162,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837e-4,2.6,34.253,90,0,2.287,15,1013.249,340.389,0.01,0.003
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.102,2.557,112.253,2.557,112.253,0,0,0,0,0,0,28.61,-80.6,9.792,41.636,0,0,0,453.738,59.401,0.016,2.031e-4,NaN,15.849,NaN,0.01,1.674e5,55.388,0.011,0.606,0.461,0.323,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.274e-4,2.6,34.253,90,0,2.273,15,1013.246,340.389,0.01,0.004
0.04,0.205,3.71,115.371,3.71,115.371,0,0,0,0,0,0,28.61,-80.6,9.792,31.329,0,0,0,453.481,59.144,0.016,2.031e-4,NaN,15.843,NaN,0.013,2.126e5,56.785,0.026,0.604,0.647,0.321,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.751e-4,2.6,34.253,90,0,2.259,15,1013.243,340.389,0.01,0.004
0.05,0.346,4.893,118.297,4.893,118.297,0,0,0,0,0,0,28.61,-80.6,9.792,24.637,0,0,0,453.22,58.882,0.015,2.03e-4,NaN,15.836,NaN,0.016,2.634e5,58.097,0.045,0.602,0.738,0.319,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.265e-4,2.6,34.253,90,0,2.244,14.999,1013.238,340.388,0.01,0.005
0.06,0.526,6.088,119.507,6.088,119.507,0,0,0,0,0,0,28.61,-80.6,9.792,20.022,0,0,0,452.95,58.613,0.015,2.03e-4,NaN,15.829,NaN,0.019,3.171e5,58.634,0.068,0.601,0.773,0.318,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.795e-4,2.6,34.253,90,0,2.219,14.999,1013.231,340.388,0.01,0.005
0.07,0.746,7.291,120.294,7.291,120.294,0,0,0,0,0,0,28.61,-80.6,9.792,16.741,0,0,0,452.681,58.344,0.015,2.03e-4,NaN,15.823,NaN,0.022,3.726e5,58.983,0.095,0.6,0.779,0.317,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.335e-4,2.6,34.253,90,0,2.193,14.999,1013.223,340.388,0.01,0.006
0.08,1.005,8.502,121.068,8.502,121.068,0,0,0,0,0,0,28.61,-80.6,9.792,14.303,0,0,0,452.412,58.075,0.015,2.03e-4,NaN,15.816,NaN,0.026,4.294e5,59.327,0.124,0.599,0.766,0.316,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.168,14.998,1013.214,340.388,0.01,0.006
0.09,1.303,9.709,120.754,9.709,120.754,0,0,0,0,0,0,28.61,-80.6,9.792,12.441,0,0,0,452.143,57.805,0.015,2.03e-4,NaN,15.809,NaN,0.029,4.866e5,59.18,0.155,0.598,0.746,0.315,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.142,14.997,1013.203,340.387,0.01,0.007
0.1,1.642,10.906,119.69,10.906,119.69,0,0,0,0,0,0,28.61,-80.6,9.792,10.983,0,0,0,451.873,57.536,0.015,2.029e-4,NaN,15.802,NaN,0.033,5.437e5,58.697,0.188,0.597,0.725,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.117,14.997,1013.191,340.387,0.01,0.007
0.11,2.019,12.093,118.666,12.093,118.666,0,0,0,0,0,0,28.61,-80.6,9.792,9.89,0,0,0,451.608,57.271,0.015,2.029e-4,NaN,15.796,NaN,0.036,6.007e5,58.237,0.224,0.597,0.708,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.108,14.996,1013.178,340.386,0.01,0.008
0.12,2.435,13.271,117.778,13.271,117.778,0,0,0,0,0,0,28.61,-80.6,9.792,8.993,0,0,0,451.344,57.006,0.015,2.029e-4,NaN,15.789,NaN,0.039,6.575e5,57.841,0.263,0.597,0.694,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.1,14.995,1013.163,340.386,0.01,0.008
0.13,2.889,14.44,116.891,14.44,116.891,0,0,0,0,0,0,28.61,-80.6,9.792,8.244,0,0,0,451.08,56.742,0.015,2.029e-4,NaN,15.782,NaN,0.043,7.14e5,57.449,0.305,0.597,0.683,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.092,14.994,1013.147,340.385,0.01,0.009
0.14,3.382,15.599,115.964,15.599,115.964,0,0,0,0,0,0,28.61,-80.6,9.792,7.609,0,0,0,450.822,56.485,0.015,2.029e-4,NaN,15.776,NaN,0.046,7.701e5,57.043,0.35,0.597,0.673,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.084,14.993,1013.129,340.385,0.01,0.009
0.15,3.913,16.749,115,16.749,115,0,0,0,0,0,0,28.61,-80.6,9.792,7.064,0,0,0,450.564,56.227,0.015,2.029e-4,NaN,15.769,NaN,0.05,8.259e5,56.624,0.397,0.597,0.664,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.076,14.992,1013.11,340.384,0.01,0.01
0.16,4.481,17.89,114.029,17.89,114.029,0,0,0,0,0,0,28.61,-80.6,9.792,6.542,0,0,0,450.306,55.969,0.015,2.028e-4,NaN,15.763,NaN,0.053,8.811e5,56.204,0.447,0.597,0.657,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.052,14.991,1013.09,340.384,0.01,0.01
